message_id,timestamp,sender,user_type,message,llm_sentiment,llm_topic,llm_bot_response,analysis_timestamp,provider_used,model_used,manual_sentiment,manual_topic,manual_bot_response,labeled_at,comment,sentiment_correct,topic_correct,bot_response_correct,overall_correct
1,2024-12-15T09:00:00,müşteri_1,customer,"Merhaba, düğün mekanı arıyorum. Bahçeli bir yer var mı?",Nötr,Düğün Mekanı,Evet,2025-08-07T21:49:33.038648,groq,llama3-8b-8192,Nötr,Düğün Mekanı,Evet,2025-08-08T14:18:37.211957,,True,True,True,True
2,2024-12-15T09:02:00,destek_1,support,Merhaba! Tabii ki. Hangi bölgede düğün mekanı arıyorsunuz?,Nötr,Düğün Mekanı,Hayır,2025-08-07T21:49:34.432777,groq,llama3-8b-8192,Nötr,Düğün Mekanı,Hayır,2025-08-08T14:18:41.992850,,True,True,True,True
3,2024-12-15T09:05:00,müşteri_1,customer,İstanbul Avrupa yakasında olsun. Fiyatları nasıl?,Nötr,Fiyat Sorgusu,Evet,2025-08-07T21:49:35.813481,groq,llama3-8b-8192,Nötr,Fiyat Sorgusu,Evet,2025-08-08T14:18:44.550240,,True,True,True,True
11,2024-12-15T10:02:00,destek_1,support,"Fotoğraf paketlerimiz: Temel (1500 TL), Standart (2500 TL), Premium (4000 TL). Hangi paketi tercih edersiniz?",Nötr,Fiyat Sorgusu,Evet,2025-08-07T21:50:19.991080,groq,llama3-8b-8192,Nötr,Fiyat Sorgusu,Evet,2025-08-08T14:18:47.673530,,True,True,True,True
12,2024-12-15T10:05:00,müşteri_3,customer,Premium pakette neler var?,Nötr,Düğün Organizasyonu,Evet,2025-08-07T21:50:29.775584,groq,llama3-8b-8192,Nötr,Düğün Organizasyonu,Evet,2025-08-08T14:18:47.941700,,True,True,True,True
13,2024-12-15T10:07:00,destek_1,support,"Premium pakette: 8 saat çekim, 2 fotoğrafçı, 500+ fotoğraf, albüm, video klip dahil.",Pozitif,Fotoğrafçı,Hayır,2025-08-07T21:50:40.572312,groq,llama3-8b-8192,Pozitif,Fotoğrafçı,Hayır,2025-08-08T14:18:48.202550,,True,True,True,True
14,2024-12-15T10:10:00,müşteri_3,customer,Harika! Rezervasyon nasıl yapabilirim?,Pozitif,Rezervasyon,Evet,2025-08-07T21:50:49.342955,groq,llama3-8b-8192,Pozitif,Rezervasyon,Evet,2025-08-08T14:18:50.490955,,True,True,True,True
15,2024-12-15T10:30:00,müşteri_4,customer,Çiçek dekorasyonu için randevu almak istiyorum.,Nötr,Çiçek/Dekorasyon,Hayır,2025-08-07T21:50:58.469638,groq,llama3-8b-8192,Nötr,Çiçek/Dekorasyon,Hayır,2025-08-08T14:18:50.794117,,True,True,True,True
16,2024-12-15T10:32:00,destek_3,support,Çiçek dekorasyonu için hangi tarih uygun? Mekan büyüklüğü nasıl?,Nötr,Çiçek/Dekorasyon,Hayır,2025-08-07T21:51:08.118195,groq,llama3-8b-8192,Nötr,Çiçek/Dekorasyon,Hayır,2025-08-08T14:18:51.064738,,True,True,True,True
17,2024-12-15T10:35:00,müşteri_4,customer,"15 Haziran 2025, 300 kişilik salon. Beyaz ve pembe tonları istiyorum.",Nötr,Düğün Mekanı,Evet,2025-08-07T21:51:17.744171,groq,llama3-8b-8192,Nötr,Düğün Mekanı,Evet,2025-08-08T14:18:52.987957,,True,True,True,True
18,2024-12-15T10:37:00,destek_3,support,Çok güzel bir seçim! Beyaz gül ve pembe şakayık kombinasyonu harika olur. Fiyat teklifi hazırlayalım.,Pozitif,Çiçek/Dekorasyon,Hayır,2025-08-07T21:51:28.311936,groq,llama3-8b-8192,Pozitif,Çiçek/Dekorasyon,Hayır,2025-08-08T14:18:55.102407,,True,True,True,True
19,2024-12-15T11:00:00,müşteri_5,customer,Düğün pastası siparişi vermek istiyorum.,Pozitif,Pasta/Catering,Evet,2025-08-07T21:51:39.310881,groq,llama3-8b-8192,Pozitif,Pasta/Catering,Evet,2025-08-08T14:18:57.302238,,True,True,True,True
20,2024-12-15T11:02:00,destek_2,support,Kaç kişilik pasta istiyorsunuz? Hangi lezzeti tercih edersiniz?,Nötr,Pasta/Catering,Hayır,2025-08-07T21:51:47.818036,groq,llama3-8b-8192,Nötr,Pasta/Catering,Hayır,2025-08-08T14:18:57.683268,,True,True,True,True
21,2024-12-15T11:05:00,müşteri_5,customer,"200 kişilik, çikolatalı olsun. Fiyatı ne kadar?",Nötr,Fiyat Sorgusu,Evet,2025-08-07T21:51:56.860190,groq,llama3-8b-8192,Nötr,Fiyat Sorgusu,Evet,2025-08-08T14:18:57.961041,,True,True,True,True
22,2024-12-15T11:07:00,destek_2,support,200 kişilik çikolatalı pasta 800 TL. Özel tasarım istiyorsanız +200 TL.,Negatif,Pasta/Catering,Hayır,2025-08-07T21:52:07.277324,groq,llama3-8b-8192,Negatif,Pasta/Catering,Hayır,2025-08-08T14:18:59.962282,,True,True,True,True
23,2024-12-15T11:30:00,müşteri_6,customer,DJ hizmeti alabilir miyim? Müzik listesi nasıl oluyor?,Nötr,Müzik/DJ,Evet,2025-08-07T21:52:17.204649,groq,llama3-8b-8192,Nötr,Müzik/DJ,Evet,2025-08-08T14:19:00.224488,,True,True,True,True
24,2024-12-15T11:32:00,destek_1,support,DJ hizmetimiz var. Müzik listesini önceden görüşüp hazırlıyoruz. 6 saat 1200 TL.,Pozitif,Müzik/DJ,Hayır,2025-08-07T21:52:25.840789,groq,llama3-8b-8192,Pozitif,Müzik/DJ,Hayır,2025-08-08T14:19:00.492626,,True,True,True,True
25,2024-12-15T11:35:00,müşteri_6,customer,Ses sistemi de dahil mi?,Nötr,Düğün Organizasyonu,Hayır,2025-08-07T21:52:35.536891,groq,llama3-8b-8192,Nötr,Düğün Organizasyonu,Hayır,2025-08-08T14:19:00.732591,,True,True,True,True
26,2024-12-15T11:37:00,destek_1,support,"Evet, profesyonel ses sistemi ve ışık sistemi dahil.",Pozitif,Düğün Organizasyonu,Hayır,2025-08-07T21:52:45.599450,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Hayır,2025-08-08T14:19:01.027309,,True,True,True,True
27,2024-12-15T12:00:00,müşteri_7,customer,Davetiye tasarımı yaptırabilir miyim?,Nötr,Davetiye,Evet,2025-08-07T21:52:54.205944,groq,llama3-8b-8192,Nötr,Davetiye,Evet,2025-08-08T14:19:01.249762,,True,True,True,True
28,2024-12-15T12:02:00,destek_3,support,Tabii ki! Özel tasarım davetiyelerimiz var. Hangi tarzda istiyorsunuz?,Pozitif,Davetiye,Hayır,2025-08-07T21:53:04.036620,groq,llama3-8b-8192,Pozitif,Davetiye,Hayır,2025-08-08T14:19:01.448361,,True,True,True,True
29,2024-12-15T12:05:00,müşteri_7,customer,"Vintage tarzda, kraft kağıt üzerine olsun.",Pozitif,Davetiye,Evet,2025-08-07T21:53:12.845207,groq,llama3-8b-8192,Pozitif,Davetiye,Evet,2025-08-08T14:19:01.685634,,True,True,True,True
30,2024-12-15T12:07:00,destek_3,support,"Vintage kraft davetiyeler çok şık oluyor. 100 adet 300 TL, tasarım dahil.",Pozitif,Davetiye,Hayır,2025-08-07T21:53:22.442101,groq,llama3-8b-8192,Pozitif,Davetiye,Hayır,2025-08-08T14:19:01.894670,,True,True,True,True
31,2024-12-15T12:30:00,müşteri_8,customer,Nikah şekeri siparişi vermek istiyorum.,Pozitif,Nikah Şekeri,Evet,2025-08-07T21:53:31.787856,groq,llama3-8b-8192,Pozitif,Nikah Şekeri,Evet,2025-08-08T14:19:02.109354,,True,True,True,True
32,2024-12-15T12:32:00,destek_2,support,"Nikah şekerimiz çok lezzetli! Hangi çeşidi tercih edersiniz? Lokum, çikolata, badem şekeri?",Pozitif,Nikah Şekeri,Hayır,2025-08-07T21:53:42.418953,groq,llama3-8b-8192,Pozitif,Nikah Şekeri,Hayır,2025-08-08T14:19:02.336170,,True,True,True,True
33,2024-12-15T12:35:00,müşteri_8,customer,Karışık olsun. 200 kutu istiyorum.,Nötr,Davetiye,Hayır,2025-08-07T21:53:52.063240,groq,llama3-8b-8192,Nötr,Davetiye,Hayır,2025-08-08T14:19:02.562547,,True,True,True,True
34,2024-12-15T12:37:00,destek_2,support,200 kutu karışık nikah şekeri 600 TL. Özel ambalaj +100 TL.,Negatif,Nikah Şekeri,Hayır,2025-08-07T21:54:01.896544,groq,llama3-8b-8192,Negatif,Nikah Şekeri,Hayır,2025-08-08T14:19:02.779668,,True,True,True,True
