message_id,timestamp,sender,user_type,message,llm_sentiment,llm_topic,llm_bot_response,analysis_timestamp,provider_used,model_used
1,2024-12-15T09:00:00,müşteri_1,customer,"Merhaba, düğün mekanı arıyorum. Bahçeli bir yer var mı?",Nötr,Düğün Mekanı,Evet,2025-08-15T20:38:59.169039,openai,gpt-4o
2,2024-12-15T09:02:00,destek_1,support,Merhaba! Tabii ki. Hangi bölgede düğün mekanı arıyorsunuz?,Nötr,Düğün Mekanı,Evet,2025-08-15T20:39:27.146554,openai,gpt-4o
3,2024-12-15T09:05:00,müşteri_1,customer,İstanbul Avrupa yakasında olsun. Fiyatları nasıl?,Nötr,Fiyat Sorgusu,Evet,2025-08-15T20:39:54.438422,openai,gpt-4o
4,2024-12-15T09:07:00,destek_1,support,Avrupa yakasında birçok güzel mekanımız var. Kişi başı 150-300 TL arası değişiyor. Kaç kişilik düşünüyorsunuz?,Pozitif,Düğün Mekanı,Hayır,2025-08-15T20:40:22.868929,openai,gpt-4o
5,2024-12-15T09:10:00,müşteri_1,customer,"200 kişilik düşünüyoruz. Çok güzel, teşekkür ederim!",Pozitif,Genel Bilgi,Evet,2025-08-15T20:40:50.090349,openai,gpt-4o
6,2024-12-15T09:30:00,müşteri_2,customer,Gelinlik modelleri görebilir miyim? Prenses model arıyorum.,Nötr,Gelinlik,Evet,2025-08-15T20:41:18.714339,openai,gpt-4o
7,2024-12-15T09:32:00,destek_2,support,Tabii ki! Prenses model gelinliklerimiz çok güzel. Mağazamıza gelip deneyebilirsiniz.,Pozitif,Gelinlik,Evet,2025-08-15T20:41:46.804782,openai,gpt-4o
8,2024-12-15T09:35:00,müşteri_2,customer,Fiyatları ne kadar? Bütçem sınırlı.,Nötr,Fiyat Sorgusu,Evet,2025-08-15T20:42:13.840187,openai,gpt-4o
9,2024-12-15T09:37:00,destek_2,support,Prenses modeller 2000-8000 TL arası. Bütçenize uygun seçenekler bulabiliriz.,Nötr,Genel Bilgi,Evet,2025-08-15T20:42:41.416137,openai,gpt-4o
10,2024-12-15T10:00:00,müşteri_3,customer,Düğün fotoğrafçısı arıyorum. Paketleriniz neler?,Nötr,Fotoğrafçı,Evet,2025-08-15T20:43:09.000584,openai,gpt-4o
11,2024-12-15T10:02:00,destek_1,support,"Fotoğraf paketlerimiz: Temel (1500 TL), Standart (2500 TL), Premium (4000 TL). Hangi paketi tercih edersiniz?",Nötr,Fotoğrafçı,Evet,2025-08-15T20:43:37.041091,openai,gpt-4o
12,2024-12-15T10:05:00,müşteri_3,customer,Premium pakette neler var?,Nötr,Genel Bilgi,Evet,2025-08-15T20:44:05.530426,openai,gpt-4o
13,2024-12-15T10:07:00,destek_1,support,"Premium pakette: 8 saat çekim, 2 fotoğrafçı, 500+ fotoğraf, albüm, video klip dahil.",Nötr,Fotoğrafçı,Hayır,2025-08-15T20:44:33.157014,openai,gpt-4o
14,2024-12-15T10:10:00,müşteri_3,customer,Harika! Rezervasyon nasıl yapabilirim?,Pozitif,Rezervasyon,Evet,2025-08-15T20:45:01.468153,openai,gpt-4o
15,2024-12-15T10:30:00,müşteri_4,customer,Çiçek dekorasyonu için randevu almak istiyorum.,Nötr,Rezervasyon,Evet,2025-08-15T20:45:29.239620,openai,gpt-4o
16,2024-12-15T10:32:00,destek_3,support,Çiçek dekorasyonu için hangi tarih uygun? Mekan büyüklüğü nasıl?,Nötr,Düğün Mekanı,Evet,2025-08-15T20:45:56.348355,openai,gpt-4o
17,2024-12-15T10:35:00,müşteri_4,customer,"15 Haziran 2025, 300 kişilik salon. Beyaz ve pembe tonları istiyorum.",Nötr,Düğün Mekanı,Evet,2025-08-15T20:46:24.518347,openai,gpt-4o
18,2024-12-15T10:37:00,destek_3,support,Çok güzel bir seçim! Beyaz gül ve pembe şakayık kombinasyonu harika olur. Fiyat teklifi hazırlayalım.,Pozitif,Fiyat Sorgusu,Evet,2025-08-15T20:46:52.549120,openai,gpt-4o
19,2024-12-15T11:00:00,müşteri_5,customer,Düğün pastası siparişi vermek istiyorum.,Nötr,Genel Bilgi,Evet,2025-08-15T20:47:19.657858,openai,gpt-4o
20,2024-12-15T11:02:00,destek_2,support,Kaç kişilik pasta istiyorsunuz? Hangi lezzeti tercih edersiniz?,Nötr,Genel Bilgi,Evet,2025-08-15T20:47:47.107264,openai,gpt-4o
