message_id,timestamp,sender,user_type,message,llm_sentiment,llm_topic,llm_bot_response,analysis_timestamp,provider_used,model_used,manual_sentiment,manual_topic,manual_bot_response,labeled_at,comment
1,2024-12-15T09:00:00,müşteri_1,customer,"Merhaba, düğün mekanı arıyorum. Bahçeli bir yer var mı?",Nötr,Düğün Mekanı,Evet,2025-08-07T21:49:33.038648,groq,llama3-8b-8192,Nötr,Düğün Mekanı,Evet,2025-08-08T14:18:37.211957,
2,2024-12-15T09:02:00,destek_1,support,Merhaba! Tabii ki. Hangi bölgede düğün mekanı arıyorsunuz?,Nötr,Düğün Mekanı,Hayır,2025-08-07T21:49:34.432777,groq,llama3-8b-8192,Nötr,Düğün Mekanı,Hayır,2025-08-08T14:18:41.992850,
3,2024-12-15T09:05:00,müşteri_1,customer,İstanbul Avrupa yakasında olsun. Fiyatları nasıl?,Nötr,Fiyat Sorgusu,Evet,2025-08-07T21:49:35.813481,groq,llama3-8b-8192,Nötr,Fiyat Sorgusu,Evet,2025-08-08T14:18:44.550240,
4,2024-12-15T09:07:00,destek_1,support,Avrupa yakasında birçok güzel mekanımız var. Kişi başı 150-300 TL arası değişiyor. Kaç kişilik düşünüyorsunuz?,Nötr,Düğün Mekanı,Hayır,2025-08-07T21:49:37.298680,groq,llama3-8b-8192,nan,nan,nan,nan,n
5,2024-12-15T09:10:00,müşteri_1,customer,"200 kişilik düşünüyoruz. Çok güzel, teşekkür ederim!",Pozitif,Düğün Organizasyonu,Hayır,2025-08-07T21:49:38.735435,groq,llama3-8b-8192,nan,nan,nan,nan,n
6,2024-12-15T09:30:00,müşteri_2,customer,Gelinlik modelleri görebilir miyim? Prenses model arıyorum.,Nötr,Gelinlik,Evet,2025-08-07T21:49:40.038011,groq,llama3-8b-8192,nan,nan,nan,nan,n
7,2024-12-15T09:32:00,destek_2,support,Tabii ki! Prenses model gelinliklerimiz çok güzel. Mağazamıza gelip deneyebilirsiniz.,Pozitif,Gelinlik,Hayır,2025-08-07T21:49:41.475084,groq,llama3-8b-8192,nan,nan,nan,nan,n
8,2024-12-15T09:35:00,müşteri_2,customer,Fiyatları ne kadar? Bütçem sınırlı.,Nötr,Fiyat Sorgusu,Evet,2025-08-07T21:49:50.011912,groq,llama3-8b-8192,nan,nan,nan,nan,n
9,2024-12-15T09:37:00,destek_2,support,Prenses modeller 2000-8000 TL arası. Bütçenize uygun seçenekler bulabiliriz.,Nötr,Fiyat Sorgusu,Evet,2025-08-07T21:49:59.903350,groq,llama3-8b-8192,nan,nan,nan,nan,n
10,2024-12-15T10:00:00,müşteri_3,customer,Düğün fotoğrafçısı arıyorum. Paketleriniz neler?,Nötr,Fotoğrafçı,Evet,2025-08-07T21:50:09.361461,groq,llama3-8b-8192,nan,nan,nan,nan,n
11,2024-12-15T10:02:00,destek_1,support,"Fotoğraf paketlerimiz: Temel (1500 TL), Standart (2500 TL), Premium (4000 TL). Hangi paketi tercih edersiniz?",Nötr,Fiyat Sorgusu,Evet,2025-08-07T21:50:19.991080,groq,llama3-8b-8192,Nötr,Fiyat Sorgusu,Evet,2025-08-08T14:18:47.673530,
12,2024-12-15T10:05:00,müşteri_3,customer,Premium pakette neler var?,Nötr,Düğün Organizasyonu,Evet,2025-08-07T21:50:29.775584,groq,llama3-8b-8192,Nötr,Düğün Organizasyonu,Evet,2025-08-08T14:18:47.941700,
13,2024-12-15T10:07:00,destek_1,support,"Premium pakette: 8 saat çekim, 2 fotoğrafçı, 500+ fotoğraf, albüm, video klip dahil.",Pozitif,Fotoğrafçı,Hayır,2025-08-07T21:50:40.572312,groq,llama3-8b-8192,Pozitif,Fotoğrafçı,Hayır,2025-08-08T14:18:48.202550,
14,2024-12-15T10:10:00,müşteri_3,customer,Harika! Rezervasyon nasıl yapabilirim?,Pozitif,Rezervasyon,Evet,2025-08-07T21:50:49.342955,groq,llama3-8b-8192,Pozitif,Rezervasyon,Evet,2025-08-08T14:18:50.490955,
15,2024-12-15T10:30:00,müşteri_4,customer,Çiçek dekorasyonu için randevu almak istiyorum.,Nötr,Çiçek/Dekorasyon,Hayır,2025-08-07T21:50:58.469638,groq,llama3-8b-8192,Nötr,Çiçek/Dekorasyon,Hayır,2025-08-08T14:18:50.794117,
16,2024-12-15T10:32:00,destek_3,support,Çiçek dekorasyonu için hangi tarih uygun? Mekan büyüklüğü nasıl?,Nötr,Çiçek/Dekorasyon,Hayır,2025-08-07T21:51:08.118195,groq,llama3-8b-8192,Nötr,Çiçek/Dekorasyon,Hayır,2025-08-08T14:18:51.064738,
17,2024-12-15T10:35:00,müşteri_4,customer,"15 Haziran 2025, 300 kişilik salon. Beyaz ve pembe tonları istiyorum.",Nötr,Düğün Mekanı,Evet,2025-08-07T21:51:17.744171,groq,llama3-8b-8192,Nötr,Düğün Mekanı,Evet,2025-08-08T14:18:52.987957,
18,2024-12-15T10:37:00,destek_3,support,Çok güzel bir seçim! Beyaz gül ve pembe şakayık kombinasyonu harika olur. Fiyat teklifi hazırlayalım.,Pozitif,Çiçek/Dekorasyon,Hayır,2025-08-07T21:51:28.311936,groq,llama3-8b-8192,Pozitif,Çiçek/Dekorasyon,Hayır,2025-08-08T14:18:55.102407,
19,2024-12-15T11:00:00,müşteri_5,customer,Düğün pastası siparişi vermek istiyorum.,Pozitif,Pasta/Catering,Evet,2025-08-07T21:51:39.310881,groq,llama3-8b-8192,Pozitif,Pasta/Catering,Evet,2025-08-08T14:18:57.302238,
20,2024-12-15T11:02:00,destek_2,support,Kaç kişilik pasta istiyorsunuz? Hangi lezzeti tercih edersiniz?,Nötr,Pasta/Catering,Hayır,2025-08-07T21:51:47.818036,groq,llama3-8b-8192,Nötr,Pasta/Catering,Hayır,2025-08-08T14:18:57.683268,
21,2024-12-15T11:05:00,müşteri_5,customer,"200 kişilik, çikolatalı olsun. Fiyatı ne kadar?",Nötr,Fiyat Sorgusu,Evet,2025-08-07T21:51:56.860190,groq,llama3-8b-8192,Nötr,Fiyat Sorgusu,Evet,2025-08-08T14:18:57.961041,
